"Basespace.ID","Participant.ID","Participant.id","Food","Timepoint","TimepointNum"
"RESTRICT_96","RF894 U T17","RF894","U","T17",17
"RESTRICT_74","RF029 U T17","RF029","U","T17",17
"RESTRICT_108","RF789 U T17","RF789","U","T17",17
"RESTRICT_121","RF141 U T17","RF141","U","T17",17
"RESTRICT_3","RF477 U T17","RF477","U","T17",17
"RESTRICT_26","RF536 U T17","RF536","U","T17",17
"RESTRICT_103","RF614 U T17","RF614","U","T17",17
"RESTRICT_50","RF508 U T17","RF508","U","T17",17
"RESTRICT_127","RF312 U T17","RF312","U","T17",17
"RESTRICT_82","RF272 R T19","RF272","R","T19",21
"RESTRICT_23","RF287 R T19","RF287","R","T19",21
"RESTRICT_112","RF789 R T19","RF789","R","T19",21
"RESTRICT_53","RF508 R T19","RF508","R","T19",21
"RESTRICT_11","RF029 R T19","RF029","R","T19",21
"RESTRICT_106","RF614 R T19","RF614","R","T19",21
"RESTRICT_59","RF141 R T19","RF141","R","T19",21
"RESTRICT_71","RF477 R T19","RF477","R","T19",21
"RESTRICT_100","RF894 R T19","RF894","R","T19",21
"RESTRICT_29","RF536 R T19","RF536","R","T19",21
"RESTRICT_130","RF312 R T19","RF312","R","T19",21
"RESTRICT_56","RF141 U T19","RF141","U","T19",21
"RESTRICT_115","RF508 U T19","RF508","U","T19",21
"RESTRICT_97","RF894 U T19","RF894","U","T19",21
"RESTRICT_38","RF614 U T19","RF614","U","T19",21
"RESTRICT_80","RF272 U T19","RF272","U","T19",21
"RESTRICT_109","RF789 U T19","RF789","U","T19",21
"RESTRICT_68","RF477 U T19","RF477","U","T19",21
"RESTRICT_91","RF536 U T19","RF536","U","T19",21
"RESTRICT_20","RF287 U T19","RF287","U","T19",21
"RESTRICT_62","RF312 U T19","RF312","U","T19",21
